time,seconds_elapsed,z,y,x
1678040536877350100,0.03935009765625,0.22282149791419506,0.06008249358423054,-0.015122234306740574
1678040536897221000,0.05922119140625,0.031233342653512953,0.03565057457387447,0.09588615809427574
1678040536917091000,0.079091064453125,-0.11597089647948741,-0.007221110359951853,0.04318544532442465
1678040536936962800,0.098962890625,-0.10675824697613716,0.01491122647114098,0.06931919068344869
1678040536956832800,0.118832763671875,-0.14605097744464873,-0.021024813980609177,-0.0641810834428994
1678040536976704000,0.1387041015625,-0.09652969842851161,0.025523732835054398,0.017726790781947784
1678040536996575000,0.158574951171875,0.03411912722289562,0.06209317581951618,0.002445895314775407
1678040537016445000,0.17844482421875,0.018217793735861777,0.09142916041910648,0.08680619505988434
1678040537036316000,0.19831591796875,0.09735212072730064,0.0017923633094877004,0.04668095472340938
1678040537056185900,0.218185791015625,0.20774609385728834,-0.05965637712664902,-0.01439507080966141
1678040537076056800,0.238056884765625,0.1140583408564329,-0.08152692121639847,-0.0008280483219772576
1678040537095928000,0.257927978515625,0.11555880854725838,-0.019917583391070366,-0.018027963402320164
1678040537115797800,0.2777978515625,-0.0895458308905363,0.07193776655085385,-0.010885809163248631
1678040537135668700,0.297668701171875,-0.1495937646180391,0.08749116338305175,0.02593646922125481
1678040537155540000,0.3175400390625,-0.02380290039181709,0.03066043813638389,0.015453677626146236
1678040537175410000,0.337409912109375,0.06498129847645759,-0.00734597884863615,0.010963518608536105
1678040537195281000,0.357281005859375,0.04115034103393554,0.013872311877459288,0.04789526698319241
1678040537215150800,0.37715087890625,0.08116144890487194,0.06739756583794951,-0.02507362814710941
1678040537235021800,0.397021728515625,0.132070382887125,-0.013973434164375065,-0.0075844477966078554
1678040537254892800,0.416892822265625,0.038868952098488806,0.02792626393213868,0.010514676579204388
1678040537274762800,0.4367626953125,0.06601765578687191,-0.041612843979150056,-0.004585001119144726
1678040537294634000,0.456634033203125,0.05022212076187133,-0.010672858249023556,0.015601633587828836
1678040537314504000,0.47650390625,-0.06988777521848678,0.10550839304551482,0.00949279303542571
1678040537334375000,0.496375,-0.06465221265256405,0.05928717848807573,-0.04725680924945045
1678040537354246000,0.516245849609375,0.02100187149643898,0.024843495485931632,0.02134439219064079
1678040537374115800,0.53611572265625,-0.02975216418504715,0.004073606114462018,0.05369431321735028
1678040537393986800,0.55598681640625,0.07477846986949443,-0.05092383929044008,0.011465177670493721
1678040537413858000,0.575858154296875,-0.08908698120713233,0.07710713201276957,0.059588303159386846
1678040537433728000,0.59572802734375,0.04533844037353992,0.011268778315559029,0.011795409705280325
1678040537453599000,0.615598876953125,0.15347732805311678,0.045365182249993086,-0.11120793812768533
