time,seconds_elapsed,z,y,x
1678040538466999000,1.6289990234375,0.06827990710735321,0.09480814635753632,0.029834557324647903
1678040538486870000,1.6488701171875,0.05284382775425911,0.04061872512102127,0.046863362193107605
1678040538506741000,1.668740966796875,0.034559719264507294,0.011334281414747238,0.05600859969854355
1678040538526611200,1.688611083984375,0.043204765766859055,-0.00680730864405632,0.04022449627518654
1678040538546482200,1.708482177734375,0.032995738089084625,0.05164782330393791,0.005744042806327343
1678040538566353200,1.728353271484375,-0.023087449371814728,-0.09303086251020432,-0.029960783198475838
1678040538586223000,1.74822314453125,-0.04947230964899063,-0.20264892280101776,-0.007764583919197321
1678040538606094000,1.768093994140625,-0.0941847711801529,-0.17671997845172882,0.02366802468895912
1678040538625964300,1.78796435546875,-0.13473784923553467,-0.09569893032312393,0.04607558622956276
1678040538645835300,1.807835205078125,-0.1522105187177658,-0.1999751478433609,0.10392168909311295
1678040538665706200,1.827706298828125,-0.20117835700511932,-0.41870811581611633,0.09345486015081406
1678040538685576200,1.847576171875,-0.15158315002918243,-0.6279492378234863,0.03440801054239273
1678040538705447200,1.867447265625,-0.09625943005084991,-0.758018434047699,0.04513479396700859
1678040538725318100,1.887318115234375,-0.07957755029201508,-0.7528356313705444,0.024141941219568253
1678040538745188400,1.907188232421875,-0.10934578627347946,-0.701502799987793,-0.06401953846216202
1678040538765059300,1.927059326171875,-0.1410234272480011,-0.6641281843185425,-0.07737007737159729
1678040538784929000,1.946928955078125,-0.1948981136083603,-0.5404749512672424,-0.07280036062002182
1678040538804800000,1.966800048828125,-0.23654398322105408,-0.3528444766998291,-0.13738380372524261
1678040538824671000,1.9866708984375,-0.18545907735824585,-0.4181402623653412,-0.2656707465648651
1678040538844541200,2.006541259765625,-0.1470693051815033,-0.33311083912849426,-0.24945898354053497
1678040538864412200,2.026412109375,-0.1440606564283371,-0.22495603561401367,-0.0842459499835968
1678040538884283100,2.046283203125,-0.1626831442117691,-0.024286966770887375,-0.018353329971432686
1678040538904153000,2.066153076171875,-0.19130653142929077,0.29245275259017944,-0.2866459786891937
1678040538924024600,2.086024658203125,-0.018493283540010452,0.43929195404052734,-0.4879152178764343
1678040538943894500,2.10589453125,0.1201247051358223,0.21517059206962585,-0.10729634016752243
1678040538963765500,2.125765625,0.018727470189332962,-0.061754755675792694,0.1453835517168045
1678040538983636700,2.14563671875,-0.017753463238477707,-0.08681082725524902,0.09978954493999481
1678040539003506700,2.165506591796875,-0.03711559623479843,0.11007761210203171,-0.04142528772354126
1678040539023377700,2.185377685546875,0.0037161046639084816,0.03835427761077881,0.09740465134382248
